,ATPR,_id,air_temperature,amount_of_solar_radiation,nodeID,precipitation,relative_humidity,time,wind_direction,wind_speed
93,,597f7011fb393e0014020d34,,,7,,96.2,2017-07-31T17:59:42.000000Z,,
94,,597f7018fb393e0014020d3b,26.8,,7,,,2017-07-31T17:59:51.000000Z,,
95,1010.0,597f7021fb393e0014020d43,,,7,,,2017-07-31T17:59:59.000000Z,,
96,,597f7028fb393e0014020d51,,0.0,7,,,2017-07-31T18:00:07.000000Z,,
97,,597f702cfb393e0014020d54,,,7,,,2017-07-31T18:00:10.000000Z,,0.0
98,,597f7030fb393e0014020d58,,,7,,,2017-07-31T18:00:14.000000Z,270.0,
99,,597f725afb393e0014020e6d,,,7,,94.7,2017-07-31T18:09:27.000000Z,,
100,,597f7261fb393e0014020e71,26.9,,7,,,2017-07-31T18:09:36.000000Z,,
101,1010.0,597f7269fb393e0014020e7b,,,7,,,2017-07-31T18:09:43.000000Z,,
102,,597f7270fb393e0014020e80,,,7,,,2017-07-31T18:09:50.000000Z,,0.0
103,,597f7277fb393e0014020e88,,,7,,,2017-07-31T18:09:57.000000Z,270.0,
104,,597f74bffb393e0014020fa9,,,7,,96.0,2017-07-31T18:19:42.000000Z,,
105,,597f74c6fb393e0014020fb5,26.7,,7,,,2017-07-31T18:19:49.000000Z,,
106,1009.0,597f74cdfb393e0014020fbc,,,7,,,2017-07-31T18:19:55.000000Z,,
107,,597f74d4fb393e0014020fca,,,7,,,2017-07-31T18:20:02.000000Z,,0.0
108,,597f74dbfb393e0014020fd3,,,7,,,2017-07-31T18:20:09.000000Z,270.0,
109,,597f7704fb393e00140210f0,,,7,,96.7,2017-07-31T18:29:22.000000Z,,
110,,597f770bfb393e00140210ff,26.8,,7,,,2017-07-31T18:29:29.000000Z,,
111,1010.0,597f7712fb393e0014021108,,,7,,,2017-07-31T18:29:36.000000Z,,
112,,597f7719fb393e0014021115,,,7,,,2017-07-31T18:29:43.000000Z,,1.0
113,,597f7720fb393e0014021122,,,7,,,2017-07-31T18:29:50.000000Z,270.0,
114,,597f7726fb393e001402112d,,,7,0.0,,2017-07-31T18:29:57.000000Z,,
115,,597f772bfb393e0014021136,,,7,,,2017-07-31T18:30:01.000000Z,,
116,,597f795cfb393e001402125d,,,7,,97.8,2017-07-31T18:39:22.000000Z,,
117,,597f7960fb393e0014021261,26.6,,7,,,2017-07-31T18:39:26.000000Z,,
118,1009.0,597f7968fb393e0014021269,,,7,,,2017-07-31T18:39:34.000000Z,,
119,,597f796ffb393e0014021270,,,7,,,2017-07-31T18:39:41.000000Z,,1.0
120,,597f7976fb393e0014021278,,,7,,,2017-07-31T18:39:48.000000Z,270.0,
121,,597f7bb6fb393e00140213bf,,,7,,97.1,2017-07-31T18:49:22.000000Z,,
122,,597f7bbbfb393e00140213ca,26.6,,7,,,2017-07-31T18:49:28.000000Z,,
123,1010.0,597f7bc6fb393e00140213d4,,,7,,,2017-07-31T18:49:39.000000Z,,
124,,597f7bd0fb393e00140213df,,,7,,,2017-07-31T18:49:51.000000Z,,1.0
125,,597f7bd7fb393e00140213e8,,,7,,,2017-07-31T18:49:57.000000Z,270.0,
126,,597f7e0dfb393e0014021502,,,7,,97.5,2017-07-31T18:59:22.000000Z,,
127,,597f7e13fb393e001402150a,26.6,,7,,,2017-07-31T18:59:28.000000Z,,
128,1010.0,597f7e18fb393e0014021515,,,7,,,2017-07-31T18:59:33.000000Z,,
129,,597f7e20fb393e001402151c,,0.0,7,,,2017-07-31T18:59:42.000000Z,,
